tourism,location_in_tweet,vacation,political_issues,hotel,restaurant
travel,Sfakia,holiday,policy issues,temporary,eating place
sightseeing,Paleochora,leave,politics,room,eating place
tourist,Kissamos,break ,political matters,flat,eating house
tour,Frangokastello,rest,political aspects,house,place
tourist industry,Kolimbari Village,time off,policy concerns,hostel,eatery
visitors,Kalyves Village,recess,political agenda,place,grill
tourists,Platanias Village,leisure,policy issue,home,diner
journeying,Anopolis,vacationing,policy questions,inn,eating place
leisure industry,Akrotiri,holidays,political affairs,lodge spot,bistro
business,Alikianos,sabbatical,policy matters,house,eating house 
arrivals,Deres,leave,political aspect,place,diner
going,Elos,break,political concerns,hostelry,dinner
engineering industry,Epanochori,summer,political creed,resort,cafe
tourism industry,Gavalochori,midsummer,political dimension,place,diner 
tourist trade,Kalami,leave,political problem,house,eating house
guests,Kandanos,time recreation,policy aspects,accommodation,buffet
holidaymakers,Kefali,take a holiday,political subject,house ,eating house 
touristry,Kournas,holidaying. ,political cases,place,eatery
flight,Mournies,liberty ,regulatory issues,lodge,dining hall
holiday,Papadiana,recreation,overall policy matters,cabin,diner
area,Rodopos,vacay,policy oriented,boarding house,eating place
vacation,Rodovani,have a rest,strategic questions,place,steakhouse
industry,Souda,take a rest,strategic issues,restaurant in hotel,eating place 
globe-trotting,Stylos,respite,issues of principle,tavern,eating
hiking,Topolia,leisure,matters of principle,building,hotel
visiting the attractions,Vamos,relax,political side,place,cafeteria
locomotion,Voukolies,take a vacation,politically,bed and breakfast,eating house 
driving,Vryses,vacation time,political point,breakfast,eatery
travel industry,Loutro,spring break,political way,room,brasserie
business,Prases,relaxation,political element,place,eating place
sightseer,Therissos,break off,political dimensions,abode,eating
campers,Nerokouros,stay,political factors,breakfast,bar
passenger car,Elafonisi,visit,political elements,car park,diner 
tourism-related,Balos,vacations,political points,carpark,eating place
tourist sector,Falassarna,leisure time,political sensitivities,at the hotel,dining
tourism sector,Frangokastello beach,leisure ,political problems,reception desk,catering
touring car,Pahia Ammos,leave,policy challenges,parking facilities,food
tourer,Georgioupolis,go on vacation,political challenges,lodging,pizzeria
holiday-makers,Sfakia beach,resting,policy interests,place,eating house
vacationers,Loutraki,leave period,political interest,house,eatery
sector,Maleme,pause,political interests,guesthouse,eating place
forestry,Souda Beach,leisure,political difficulties,guest house,eating house
health-sector,Agia Marina,sleep,political considerations,shelter,diner
professionals,Agioi Apostoloi,rigidity,area of politics,building,restoring
travelling,Drapanias,take some time off,political,room,public catering
touring,Finikas,recreational,political topics,residence,teahouse
expedition,Germaniko Pouli,departure,political subjects,home,eating place
drive,Gialiskari,weekend,department,rooms,eating
trekking,Glyka Nera,carry,political arguments,comfortableness,snack bar
transport,Golden Beach,go,,advance booking,diner
itinerary,Grammeno,take time off,,catering,rehabilitation
carriage,Kalamaki,take vacations,,in a hotel,restoration
go in,Kalathas,,,fleabag,room
booked ticket,Kalyves,go on holiday,,house,trattoria
visitor,Kiani Akti,have a holiday,,safe deposit box,eatery
package tour,Kissamos beach,go on a vacation,,accomodations,diner
travel guide,Kolimbari,tour,,located is,remediation
turismo,Koutelos,cross,,buffet table,restaurants
portion of said,Krios,carry,,until otherwise stipulated,at the restaurant
hospitality sector,Marathi,repose,,house building,recovery
e-tourism,Orthi Ammos,games,,steam room,coffee shop
tourisme,Sfinari,relaxation,,handshaking,eating house
leisure,Sougia,withdrawal,,flophouse,drink
holiday makers,Stalos,passage,,place,refectory
your travel,Stavros,escape,,house home,eating place 
sectoral,Tavronitis,break off,,housing,eating
business,Tripiti,trip,,chalet,restored
across the industry,Votsalo,release,,apartment,cattleman
in the sector,Votsalo,liberation,,flat,at a restaurant
tours,Platanias,on vacation,,house,at the diner
trek,Paleohora Beach,take a break,,hotelier,exp.
course,Halikia,get some rest,,parking facility,luncheonette
crossing,paleochora,tourist,,motor lodge,place 
traveling,kissamos,for rest,,lunch,eating house
commutation,frangokastello,holiday resort,,room rate,chophouse
vacation industry,kolimbari village,spend holidays,,doss house,diner 
business,kalyves village,time off work,,chamber,eating place
travel,platanias village,sojourn,,quarters,dining room
